标题,内容,发布时间,发布日期,提取证券名称,匹配证券代码
,财联社9月21日电，美联储主席鲍威尔表示，中性利率高于长期利率似乎是合理的，目前中性利率可能较高。,02:50:02,2023-09-21,,
美联储主席鲍威尔：美联储估计8月份核心PCE同比上升3.9％,【美联储主席鲍威尔：美联储估计8月份核心PCE同比上升3.9％】财联社9月21日电，美联储主席鲍威尔表示，美联储估计8月份核心PCE同比上升3.9％；降低通胀的前提是GDP增速一段时期内低于趋势水平。,02:47:21,2023-09-21,美联储主席鲍,
美联储主席鲍威尔：多数决策者认为再次加息更有可能是合适的,【美联储主席鲍威尔：多数决策者认为再次加息更有可能是合适的】财联社9月21日电，美联储主席鲍威尔表示，大多数政策制定者认为再次加息更有可能是合适的；我们还没有就利率是否有足够限制性做出决定；在我们准备好得出我们有足够限制性的结论之前需要看到更多进展；我们希望看到令人信服的证据，证明我们已经达到了适当的水平；我们相当接近我们认为需要达到的水平；经济活动更加强劲是需要采取更多利率措施的主要原因；实际利率需要在一段时间内保持正值。,02:46:05,2023-09-21,美联储主席鲍,
国际原油期货结算价跌约1%,【国际原油期货结算价跌约1%】财联社9月21日电，国际原油期货结算价跌约1%。WTI 10月原油期货结算价收跌0.92美元，跌幅1.01%，报90.28美元/桶。布伦特11月原油期货收跌0.90美元，跌幅0.95%，报93.53美元/桶。,02:45:04,2023-09-21,,
美联储主席鲍威尔：如果情势需要 准备进一步加息,【美联储主席鲍威尔：如果情势需要 准备进一步加息】财联社9月21日电，美联储主席鲍威尔表示，如果情势需要，准备进一步加息；美联储预测不是计划，政策将酌情调整；将逐次会议做出决定，谨慎行事；将保持限制性利率，直至有信心通胀将降至2%；按兵不动并不意味着我们已经达到了我们寻求的立场。,02:39:02,2023-09-21,美联储主席鲍,
美联储主席鲍威尔：距离通胀率降至2%目标还有很长道路要走,【美联储主席鲍威尔：距离通胀率降至2%目标还有很长道路要走】财联社9月21日电，美联储主席鲍威尔表示，长期通胀预期依然稳固；距离通胀率降至2%目标还有很长道路要走。,02:37:35,2023-09-21,美联储主席鲍,
美联储主席鲍威尔：劳动力市场依然吃紧 但供需较之前更为平衡,【美联储主席鲍威尔：劳动力市场依然吃紧 但供需较之前更为平衡】财联社9月21日电，美联储主席鲍威尔表示，劳动力市场依然吃紧，但供需较之前更为平衡；3.8％的失业率“仍然低”；实际GDP增长超出预期，消费者支出特别强劲，楼市活动有所回升，加息对企业投资构成压力。,02:36:16,2023-09-21,美联储主席鲍,
美联储主席鲍威尔：紧缩政策的效果尚未完全显现,【美联储主席鲍威尔：紧缩政策的效果尚未完全显现】财联社9月21日电，美联储主席鲍威尔表示，紧缩政策的效果尚未完全显现；我们的决定将基于对数据和风险的评估；美联储准备好在收紧利率方面谨慎行事；当前的货币政策立场具有限制性。,02:34:36,2023-09-21,美联储主席鲍,
,财联社9月21日电，美联储主席鲍威尔表示，FOMC坚决专注于完成双重使命；坚决致力于将通胀率降到2%。,02:31:23,2023-09-21,,
,财联社9月21日电，美联储公布利率决议后，加拿大2年期国债收益率涨至2001年7月以来的最高水平。,02:26:34,2023-09-21,,
三只中证2000指数基金上市交易 股票ETF规模今年已增长近4000亿元,【三只中证2000指数基金上市交易 股票ETF规模今年已增长近4000亿元】财联社9月21日电，易方达基金管理有限公、汇添富基金管理有限公司、国泰基金管理有限公司等3家基金管理人旗下的3只跟踪中证2000指数的ETF（交易型开放式指数证券投资基金）9月21日正式上市交易，这将进一步丰富宽基指数投资工具，为投资者提供更多选择。相比今年年初，截至9月18日，股票ETF规模今年已增长近4000亿元，远超往年水平，目前股票ETF规模合计达1.65万亿元。就往年数据来看，2019年至2021年，股票ETF每年规模增长均超2500亿元，2022年规模增长接近2000亿元。从资金具体布局来看，宽基指数相关产品的规模增量遥遥领先，并且呈现出“越跌越买”的现象。数据显示，今年ETF规模增量居前的指数为沪深300、科创板50和创业板指，在今年指数震荡回调的背景下，这3只指数相关ETF的规模分别增长了702亿元、589亿元和249亿元。 (证券日报),02:17:34,2023-09-21,,
美联储政策声明：经济活动增长稳健,【美联储政策声明：经济活动增长稳健】财联社9月21日电，美联储政策声明称，经济活动增长稳健；通胀率依然高企，高度关注相关风险；重申信贷收紧可能会打压经济活动；重申将把货币紧缩政策的滞后效应纳入考量；重申“将继续评估更多信息”；将继续保持国债和抵押贷款支持证券的减持速度不变。,02:14:04,2023-09-21,美联储政策声,
美联储上调2023年PCE通胀预期至3.3%,【美联储上调2023年PCE通胀预期至3.3%】财联社9月21日电，美联储上调2023年PCE通胀预期至3.3%，6月份料为3.2%；2024年PCE通胀预期2.5%，6月份料为2.5%；上调2025年PCE通胀预期至2.2%，6月份料为2.1%；预计2026年PCE通胀为2.0%；维持更长周期的PCE通胀预期在2.0%不变。,02:12:17,2023-09-21,,
美联储下调2023年失业率预期至3.8%,【美联储下调2023年失业率预期至3.8%】财联社9月21日电，美联储下调2023年失业率预期至3.8%，6月份料为4.1%；下调2024年失业率预期至4.1%，6月份料为4.5%；下调2025年失业率预期至4.1%，6月份料为4.5%；预计2026年美国失业率为4.0%；长期失业率预期为4.0%，6月份料为4.0%。,02:11:28,2023-09-21,,
,财联社9月21日电，利率互换合约反映2024年美联储降息可能性下降。,02:07:46,2023-09-21,,
,财联社9月21日电，美联储FOMC声明称，近几个月就业增长放缓，但整体仍然强劲；美联储利率声明中再次提到“进一步收紧政策的程度”。,02:06:10,2023-09-21,,
美联储上调美国2023年GDP增长预期至2.1%,【美联储上调美国2023年GDP增长预期至2.1%】财联社9月21日电，美联储上调美国2023年GDP增长预期至2.1%，6月料增1.0%；上调美国2024年GDP增长预期至1.5%，6月料增1.1%；维持美国2025年GDP增长预期在1.8%；预计2026年美国GDP增速为1.8%；长期美国GDP增速预期为1.8%。,02:05:48,2023-09-21,,
,财联社9月21日电， 美联储预计年底前还将有一次25个基点的加息。,02:03:36,2023-09-21,,
,财联社9月21日电，美国10年期国债收益率在美联储会议声明后飙升至4.357%；两年期国债收益率上升至5.131%，为2007年以来最高水平。,02:03:21,2023-09-21,,
美联储点阵图：2023年底联邦基金利率预期升至5.6%,【美联储点阵图：2023年底联邦基金利率预期升至5.6%】财联社9月21日电，美联储点阵图显示，预计2023年年底的联邦基金利率为5.6%，6月份料为5.6%；预计2024年年底的联邦基金利率为5.1%，6月份料为4.6%；预计2025年年底的联邦基金利率为3.9%，6月份料为3.4%；长期联邦基金利率预期为2.9%，6月份料为2.5%。,02:02:14,2023-09-21,美联储点阵图,
,财联社9月21日电，非美货币普跌，欧元兑美元短线下挫30点，英镑兑美元短线跌30点，美元兑日元短线拉升近40点。,02:02:08,2023-09-21,,
,财联社9月21日电，美联储FOMC声明称，12位官员预计今年还会加息一次，7位官员预计维持不变。,02:01:07,2023-09-21,,
美联储宣布暂停加息,【美联储宣布暂停加息】财联社9月21日电，美联储当地时间9月20日宣布放缓加息步伐，将联邦基金利率目标维持在5.25%至5.50%的区间不变。,02:00:21,2023-09-21,,
,财联社9月21日电，COMEX 12月黄金期货结算价收涨0.68%，报1967.1美元/盎司。COMEX 12月白银期货结算价收涨1.62%，报23.836美元/盎司。,01:52:14,2023-09-21,,
俄副总理：俄今年石油产量预计为5.27亿吨,【俄副总理：俄今年石油产量预计为5.27亿吨】财联社9月21日电，俄罗斯副总理诺瓦克20日说，今年俄罗斯石油产量预计为5.27亿吨，天然气产量预计达到6420亿立方米。诺瓦克当天在俄秋明州首府秋明市举行的工业和能源论坛上发表讲话说，2022年俄石油产量为5.35亿吨，较2021年增长2%。今年俄石油产量将略有减少，预计为5.27亿吨。今年俄石油供应将继续面向亚太地区国家。,01:46:03,2023-09-21,俄副总理,
,财联社9月21日电，通用汽车的Fairfax装配工厂因美国汽车工人联合会（UAW）的罢工行动而暂停运行。,01:38:47,2023-09-21,,
公募基金积极布局海外成绩亮眼 多只QDII年内收益率突破40%,【公募基金积极布局海外成绩亮眼 多只QDII年内收益率突破40%】财联社9月21日电，在A股持续震荡的背景下，主动权益基金短期业绩表现乏力，而境内投资者对境外优质资产配置需求与日俱增，公募基金瞄准境外市场投资机会，加快布局QDII（合格境内机构投资者）业务。与此同时，今年以来投资于海外资产的QDII基金业绩一骑绝尘，多只产品在一众基金中逆市上涨，年内最高收益率已超46%。具体来看，多只跟踪纳斯达克100指数的QDII基金业绩最为抢眼；而部分医药主题QDII基金、互联网科技主题QDII基金的业绩则表现不佳。数据显示，截至9月20日，今年以来全市场基金业绩排名（不同类型份额分开计算，下同）前50名中，有40只为QDII基金。单从QDII基金的业绩来看，在市场全部434只QDII基金中，今年以来收获正收益率的有248只，其中业绩排名靠前的QDII基金主要为跟踪信息技术、医疗保健等板块的纳斯达克100指数产品。这些基金今年以来最高收益率超过45%，远远跑赢今年以来股票型基金、混合型基金的平均收益率。 (证券日报),01:36:38,2023-09-21,,
加拿大央行会议纪要：担心维持利率不变会增加降息预期,【加拿大央行会议纪要：担心维持利率不变会增加降息预期】财联社9月21日电，加拿大央行会议纪要显示，加拿大央行担心维持利率不变会增加降息预期；当前薪资增速与维持物价稳定的目标不一致；加拿大央行在九月会议上没有讨论降息；正在观察核心通胀动能，以及CPI前景展望；在利率处于高位的状况下，过剩需求正在消退；仍需要保留进一步收紧政策的行动选项；供需平衡对于未来核心通胀以及整体通胀前景是关键因素。,01:31:05,2023-09-21,加拿大央行会,
四大快递龙头发布8月份成绩单 单票价格走低、行业竞争加剧,【四大快递龙头发布8月份成绩单 单票价格走低、行业竞争加剧】财联社9月21日电，顺丰控股、圆通速递、韵达股份和申通快递四家A股快递公司9月20日公布了8月份经营数据。综合来看，四家公司8月份业务量不断提升，但快递单票收入却均有下降，这也意味着快递行业竞争仍然激烈。对于快递单票价格是否会提升，招商证券曾在研报中分析称，当前快递单价基本触底，加盟商盈利情况较差导致行业自下而上提价动力增强，叠加旺季到来、大件占比有望提升，后续价格或迎来季节性修复。 (证券日报),01:27:56,2023-09-21,,
,财联社9月21日电，周三美联储隔夜逆回购协议（RRP）使用规模为1.487万亿美元。,01:17:11,2023-09-21,,
波兰总理：若分歧升级 或将对更多乌产品实施禁令,【波兰总理：若分歧升级 或将对更多乌产品实施禁令】财联社9月21日电，波兰总理莫拉维茨基当地时间20日表示，如果乌克兰方面使农产品分歧升级，波兰将对更多的乌克兰产品实施进口禁令。他强调，波兰愿意帮助乌克兰，但不会以破坏本国的市场稳定为代价。波兰将维持对乌克兰农产品的进口禁令，直至“建立合适的农业市场合作机制”。 (央视新闻),01:09:49,2023-09-21,波兰总理,
欧足联发布欧洲足球报告,【欧足联发布欧洲足球报告】财联社9月21日电，欧足联近日发布有关上赛季欧洲足坛的全景报告，报告主要内容是关注欧洲俱乐部的发展趋势、现状以及潜力等。报告称，上赛季总计有创纪录的2.09亿人在现场观看欧洲各类足球比赛，有14个国家和地区联赛的观赛人数达到近十年的最高，英格兰、法国和瑞士的联赛观众创历史新高。刚刚过去的夏季转会窗中，欧洲各俱乐部的转会费总计高达72亿欧元，超过2019年夏天的历史纪录，比去年更是增加了近四分之一，显示出欧洲俱乐部对未来的信心。,01:03:39,2023-09-21,,
9月份LPR“原地踏步” 专家预计未来仍有下调可能,【9月份LPR“原地踏步” 专家预计未来仍有下调可能】财联社9月21日电，9月份LPR（贷款市场报价利率）9月20日出炉。中国人民银行授权全国银行间同业拆借中心公布，1年期LPR为3.45%，5年期以上LPR为4.2%。两个品种LPR均“原地踏步”，符合市场预期。9月15日，央行开展5910亿元MLF（中期借贷便利）操作，操作利率维持2.5%不变。9月份MLF操作利率不变，意味着当月LPR报价的定价基础未发生变化。中信证券首席经济学家明明认为，考虑到银行调降存量按揭贷款利率将对利息收入产生较大的冲击，若此时下调LPR，将增大“统筹考虑增量、存量及其他金融产品价格关系”的难度。此外，8月份央行等三部门联合召开金融支持实体经济和防范化解金融风险电视会议，提出“统筹协调金融支持地方债务风险化解工作，丰富防范化解债务风险的工具和手段”。在化解地方债务风险具体工具和手段落地之前，或需将银行息差保持在一定水平。 (证券日报),00:57:31,2023-09-21,,
,财联社9月21日电，波士顿营销自动化平台科技供应商Klaviyo美国IPO首日开盘涨22.5%，报36.75美元，此前给出的IPO发行价为每股30美元。,00:46:32,2023-09-21,,
个人养老金投资产品日渐丰富 理财类有待加速扩容,【个人养老金投资产品日渐丰富 理财类有待加速扩容】财联社9月21日电，个人养老金制度实施近10个月以来，四类投资产品（储蓄类产品、基金类、保险类、理财类）日渐丰富，不过，个人养老金理财类产品相较其他三类产品，扩容速度较慢。截至9月20日，个人养老金理财产品仅有19只。 对此，普益标准研究员王杰分析，个人养老金制度下，个人养老金理财产品在产品设计、资产配置、运作管理等方面均面临一定的难度和限制，理财公司发行该类产品相对谨慎。整体来看，个人养老金理财产品仍处于探索和尝试阶段，相比于其他类型的个人养老金产品尚未形成差异化竞争优势，对投资者的吸引力亦不及预期。 (证券日报),00:39:08,2023-09-21,,
,财联社9月21日电，美国众议院议长麦卡锡表示，不能保证明天会通过权宜开支法案。,00:21:07,2023-09-21,,
沙特年内最大IPO：石油开采公司ADES 12亿美元IPO获得765亿美元认购,【沙特年内最大IPO：石油开采公司ADES 12亿美元IPO获得765亿美元认购】财联社9月21日电，沙特石油钻探公司ADES Holding Co.沙特IPO获得2869亿沙特里亚尔（折合765亿美元）认购金额——超额认购倍数大约为63倍，该公司希望通过首次公开发行股票募资12亿美元，这将是沙特2023年迄今第一大IPO。根据9月20日公告，该公司将IPO发行价定在每股13.50里亚尔，位于发行价指导区间的顶端，意味着公司估值为41亿美元。与此同时，Lumi Rental Co.也在9月份IPO中获得大约270亿美元认购。这可能会改善沙俄政府推进沙特阿美增发股票的信心。,00:17:04,2023-09-21,沙特年内最大,
美国SEC主席：政府关门将严重影响SEC对市场的监管,【美国SEC主席：政府关门将严重影响SEC对市场的监管】财联社9月21日电，美国证券交易委员会(SEC)主席表示，美国政府停摆将影响到SEC对市场的监管。SEC主席Gary Gensler在接受采访时表示，由于联邦政府可能在本月底关门，SEC的监管活动将受到严重限制，可能无法履行一些基本职能。Gensler指出，联邦政府关门意味着保持正常的市场监管是不可能的。,00:15:01,2023-09-21,美国SEC主,
,财联社9月21日电，谷歌称，从10月1日起，所有谷歌云网络标准层的新老客户每月都有资格获得200GB的免费互联网数据传输。,00:09:07,2023-09-21,,
Cathie Wood：美联储可能2024年开始降息 利率下降时主题投资将复苏,【Cathie Wood：美联储可能2024年开始降息 利率下降时主题投资将复苏】财联社9月21日电，ARK Investment Management创始人Cathie Wood表示，美联储降息时，投资者将涌入热门主题型基金。Wood正在通过新的收购加大对创新投资策略的押注。Wood表示，美联储可能2024年开始降息，这会利好她多年来偏好的策略类型。“我认为我们处于大幅加息的另一边，加息确实令业绩很受伤，”Wood周三向表示，“这是最重要的事情。我们已经准备好迎接黄金时段。”,00:07:24,2023-09-21,Cathie,
《权游》原著作者等多名作家起诉OpenAI侵犯版权,【《权游》原著作者等多名作家起诉OpenAI侵犯版权】财联社9月20日电，《权力的游戏》原著作者乔治·马丁等多名作家起诉OpenAI侵犯版权。此前已有作家对生成式人工智能公司使用他们的书来训练人工智能模型采取法律行动。据悉，美国作家协会和乔纳森·弗兰岑、约翰·格里沙姆、乔治·马丁等17位知名作家在纽约南区提起诉讼。原告希望将该诉讼归类为集体诉讼。根据诉状，OpenAI“在未经许可或考虑的情况下批量复制原告的作品”，并将受版权保护的材料输入大型语言模型。 (The Verge),00:04:57,2023-09-21,,
,财联社9月21日电，俄罗斯8月PPI环比上升4.4%，同比上升10.6%。,00:01:02,2023-09-21,,
乌克兰外交部发言人：已向波兰提出解决粮食问题的建设性方案,【乌克兰外交部发言人：已向波兰提出解决粮食问题的建设性方案】财联社9月20日电，据乌克兰国家通讯社20日报道，乌克兰外交部发言人尼科连科表示，乌克兰外交部已获悉乌克兰驻波兰大使与波兰副外长会晤的详细情况，在这次会晤中，乌克兰驻波大使再次解释了乌克兰对波兰单方面禁止进口乌克兰粮食的不可接受性的立场。尼科连科表示，乌克兰方面已经向波兰提出了解决粮食问题的建设性方案，期待乌克兰给予的建议成为推动对话的开端。,23:56:21,2023-09-20,乌克兰外交部,
重庆调整个人住房房产税政策：“三无”人员新购第二套（含第二套）以上征税,【重庆调整个人住房房产税政策：“三无”人员新购第二套（含第二套）以上征税】财联社9月20日电，重庆市人民政府9月20日发布关于修改《重庆市关于开展对部分个人住房征收房产税改革试点的暂行办法》和《重庆市个人住房房产税征收管理实施细则》的决定。将征收对象中“在重庆市同时无户籍、无企业、无工作的个人新购的首套及以上的普通住房”修改为“在重庆市同时无户籍、无企业、无工作的个人新购的第二套（含第二套）以上的普通住房”。同时将纳税期限由每年的10月1至31日调整为每年的10月1日至12月31日，并调整了相关部门和区域名称。,23:51:12,2023-09-20,重庆调整个人,
英国将禁售汽柴油新车的时间推迟五年至2035年,【英国将禁售汽柴油新车的时间推迟五年至2035年】财联社9月21日电，英国首相里希·苏纳克提出应对气候变化的所谓“新方法”，淡化了自己绿色议程的关键部分，包括将禁售汽油和柴油动力新车的时间推迟5年至2035年。“至少现在应该由你们，也就是消费者自己做出选择，而不是政府强迫你们这样做，” 苏纳克周三在唐宁街发表讲话时表示，在成本下降推动下，预计到2030年前即使没有政府干预在英国销售的绝大多数汽车都将是电动型。苏纳克表示，他仍然致力于在2050年实现净零排放，但称英国应该以 “更恰当的方式”实现这一目标，让面临生活成本压力的选民得到补贴。,23:48:48,2023-09-20,,
,财联社9月20日电，俄罗斯副总理诺瓦克表示，俄罗斯将在年底前将石油出口量从五月至六月的平均水平减少30万桶/日。,23:43:52,2023-09-20,,
欧洲主要股指集体收涨 德国DAX30指数涨0.75%,【欧洲主要股指集体收涨 德国DAX30指数涨0.75%】财联社9月20日电，欧洲主要股指集体收涨，德国DAX30指数涨0.75%，英国富时100指数涨0.95%，法国CAC40指数涨0.67%，欧洲斯托克50指数涨0.81%。,23:43:33,2023-09-20,,
10年来自贸试验区累计向全国复制推广302项制度创新成果,【10年来自贸试验区累计向全国复制推广302项制度创新成果】财联社9月20日电，商务部副部长郭婷婷20日表示，10年来，党中央先后部署设立了21个自由贸易试验区，以不到千分之四的国土面积，贡献了全国18%的外商投资和进出口总额，累计向全国复制推广302项制度创新成果，成为了新时代改革开放新高地。,23:40:43,2023-09-20,,
博俊科技：部分一体化压铸产品近期已完成试模及制样,【博俊科技：部分一体化压铸产品近期已完成试模及制样】财联社9月20日电，博俊科技近期在接受调研时表示，部分一体化压铸产品近期已完成试模及制样，预计将于明年四季度开始量产。公司目前电池包托盘、壳体主要为冲压、焊接工艺生产，相关工艺已经比较成熟。未来，公司将依据市场需求确定是否用一体化压铸实现。,23:36:40,2023-09-20,博俊科技,300926.SZ
豪迈科技：提供大型压铸机零部件业务,【豪迈科技：提供大型压铸机零部件业务】财联社9月20日电，豪迈科技在投资者互动平台表示，公司有给客户提供大型压铸机的零部件业务，当前业务量较小。,23:33:27,2023-09-20,豪迈科技,002595.SZ
,财联社9月20日电，美国证券交易委员会（SEC）投票，以4-1票批准实施新版基金命名制度。,23:32:59,2023-09-20,,
九联科技：基于星闪技术的组网产品目前正在样机阶段,【九联科技：基于星闪技术的组网产品目前正在样机阶段】财联社9月20日电，九联科技在投资者互动平台表示，公司基于星闪技术的组网产品目前正在样机阶段。,23:32:02,2023-09-20,九联科技,688609.SH
ST三圣：下属医药子公司有生产减肥药中间体,【ST三圣：下属医药子公司有生产减肥药中间体】财联社9月20日电，ST三圣在投资者互动平台表示，公司下属医药子公司有生产减肥药中间体。,23:30:51,2023-09-20,ST三圣,002742.SZ
金凯生科：公司与礼来、诺和诺德均有长期业务关系,【金凯生科：公司与礼来、诺和诺德均有长期业务关系】财联社9月20日电，金凯生科近期在接受调研时表示，年产190吨高端医药产品项目是公司的募投项目，目前尚未达产。公司与礼来、诺和诺德均有长期业务关系，合作关系稳定。,23:27:42,2023-09-20,金凯生科,301509.SZ
,财联社9月20日电，欧洲汽车生产商斯特兰蒂斯(Stellantis)宣布在美国俄亥俄州Toledo工厂裁员68人。,23:26:11,2023-09-20,,
俄罗斯总统普京会见王毅,"【俄罗斯总统普京会见王毅】当地时间2023年9月20日，俄罗斯总统普京在圣彼得堡会见中共中央政治局委员、中央外办主任王毅。

普京请王毅转达对习近平主席的诚挚问候，表示今年3月，习近平主席对俄罗斯进行具有划时代意义的访问，取得圆满成功，体现了俄中全面战略协作伙伴关系的高水平。自那以来，双方达成的重要共识正在逐一落实，两国经贸、人文、体育等各领域交流合作取得积极成果。今年以来，俄罗斯已克服美西方单边制裁冲击，经济开始恢复增长，各种机能正常运转，我们期待同中方加强规划，深化务实合作。俄方高度赞赏并积极支持共建“一带一路”倡议，反对对倡议的歪曲抹黑，愿加强欧亚经济联盟同倡议对接，推进地区一体化进程。

普京说，当前国际局势演变充分印证了习近平主席对百年未有大变局的战略判断。在俄中等各方共同努力下，金砖国家今年成功扩员，推动金砖合作迈上新台阶。俄方愿同中方在上海合作组织、金砖机制等多边框架下保持密切协调，抵制单极霸权和阵营对抗，维护国际公平正义。

王毅转达了习近平主席对普京总统的亲切问候，表示两国元首今年成功会晤，共同擘画了新时代中俄全面战略协作伙伴关系新的蓝图，为推动双边关系深入发展指明了前进方向、注入了强劲动力。这次访俄期间，我同帕特鲁舍夫安秘和拉夫罗夫外长全面梳理了两国各领域合作，愿同俄方一道，以两国元首重要共识为根本遵循，增进战略互信，深化务实合作，进一步夯实中俄友好的民意和社会基础。

王毅说，习近平主席强调世界进入百年未有之大变局。面对变乱交织的国际局势，世界多极化加速演进，经济全球化逆势前行，单边行径不可持续，霸权主义不得人心。中俄作为联合国安理会常任理事国，对推动世界发展进步负有重要责任。双方要加强多边战略协作，维护两国正当权益，为推动国际秩序朝着公正合理方向发展作出新的努力。

双方还就当前国际和地区形势交换了意见。在乌克兰问题上，普京重申俄方愿通过对话谈判解决问题。

访俄期间，王毅还与俄方共同主持中俄第十八轮战略安全磋商，举行中俄蒙安全事务高级代表会晤，并分别会见俄罗斯外长拉夫罗夫、蒙古国家安全委员会秘书长恩赫巴亚尔。",23:25:53,2023-09-20,,
德国工业界人士：能源价格高企令德国遭遇“去工业化”风险,【德国工业界人士：能源价格高企令德国遭遇“去工业化”风险】财联社9月20日电，德国第二大化工公司——赢创工业集团首席执行官克里斯蒂安·库尔曼近日在接受媒体采访时表示，近几年德国能源价格高企，让德国面临着“去工业化”的风险。俄乌冲突爆发以来，欧盟追随美国对俄罗斯天然气和石油产品实施禁运或限价，引发能源供应紧张、通胀加剧等一连串反噬效应。同时，美国借机向欧洲出口高价天然气，进一步抬高了欧洲的能源成本。一段时间以来，能源危机传导至制造业领域，对德国的能源密集型产业造成了巨大冲击。,23:25:22,2023-09-20,德国工业界人,
欧盟发布新的能源效率指令,【欧盟发布新的能源效率指令】财联社9月20日电，欧盟委员会当地时间20日发布新的能源效率指令，该指令将于20天后生效。指令包括，到2030年将欧盟最终能源消耗减少11.7%，提高能源效率并进一步减少对化石燃料的依赖等。欧盟能源效率措施侧重于推动政策领域改革，并在欧盟成员国推动统一政策，在工业、公共部门、建筑、能源供应部门引入统一的能源标签系统。,23:23:17,2023-09-20,,
华为发布《数据中心2030》报告,【华为发布《数据中心2030》报告】财联社9月20日电，据华为官网，9月20日，在华为全联接大会2023期间，华为发布《数据中心2030》报告。华为预测，到2030年全球AI计算算力将超过105 ZFLOPS(FP16)：AI计算算力成为数据中心发展的最大驱动力和决定性因素。未来5到10年通用大模型的发展有可能使AI对文字、音乐、绘画、语音、图像、视频等领域的理解力超过人类平均水平，并与互联网和智能设备深度融合，深度改变全社会的消费模式和行为。,23:22:02,2023-09-20,,
,财联社9月20日电，美国国债收益率跌幅扩大，5-30年期美债收益率刷新日低。,23:12:20,2023-09-20,,
亚马逊举行今年最重磅的新品发布会 AI功能加持的Alexa语音助手等产品亮相,【亚马逊举行今年最重磅的新品发布会 AI功能加持的Alexa语音助手等产品亮相】财联社9月20日电，美东时间就9月20日周三，亚马逊举行今年最重磅的新品发布会，得到生成式人工智能（AI）功能加持的Alexa语音助手、新款音箱Echo、电脑、眼镜、电视等硬件携手亮相，赶在假日季到来前，用全线新品吸引买家。这款亚马逊推出的重新设计界面和升级音箱的Echo 8售价149.99 美元，将于10月开始发货。,23:10:24,2023-09-20,,
美媒：乌国防部情报总局证实 周三克里米亚发生一系列爆炸是乌军所为,【美媒：乌国防部情报总局证实 周三克里米亚发生一系列爆炸是乌军所为】财联社9月20日电，据美国有线电视新闻网（CNN）9月20日报道，20日当天，克里米亚半岛出现疑似用于防务目的烟幕，而克里米亚大桥上的交通也一度中断。CNN称，克里米亚当地社交媒体账号发布的视频显示，大量烟雾从维尔赫内萨多沃耶附近的一个地区升起，那里有一个属于俄军的军事基地。而乌克兰国防部情报总局随后证实，周三在克里米亚发生的一系列爆炸是乌克兰军队所为。“我们可以证实，这是乌克兰安全部门和国防部队针对俄军的军事目标采取的行动”，安德烈·尤索夫发言人安德烈·尤索夫说。 (环球时报),23:09:38,2023-09-20,,
德银预计英国央行将在周四维持利率在5.25%,【德银预计英国央行将在周四维持利率在5.25%】财联社9月20日电，德意志银行称，由于英国CPI数据影响，现在预计英国央行将在周四维持利率在5.25%，此前预期会加息25个基点。,23:06:37,2023-09-20,,
,财联社9月20日电，美国银行上调最低时薪至23美元，未来将进一步上调至25美元。,23:05:17,2023-09-20,,
韩正出席可持续发展目标峰会领导人对话会,"【韩正出席可持续发展目标峰会领导人对话会】当地时间9月19日，国家副主席韩正在纽约联合国总部出席可持续发展目标峰会领导人对话会并发言。

韩正表示，当前全球发展面临严峻挑战。习近平主席2021年提出全球发展倡议，旨在推动实现更加强劲、绿色、健康的全球发展。中国将落实2030年可持续发展议程同国家中长期发展战略有机结合，始终寓自身发展于世界的繁荣稳定之中，以实际行动积极帮助全球南方国家。中方将继续同各方一道，为如期实现可持续发展目标、构建全球发展共同体作出积极贡献。

一是将发展牢牢置于全球议程中心。支持联合国在落实2030年议程中发挥统筹协调作用，促进各国发展理念交流、政策对接、资源匹配，让发展成果惠及每一个国家、每一个人。

二是建设开放型世界经济。倡导开放包容，反对“脱钩断链”，为发展中国家发展创造有利外部环境，提高发展中国家在全球治理中的代表性和发言权。

三是抓住新一轮科技革命历史机遇。深化绿色发展、新型工业化、数字经济等领域务实合作，科学有序推进碳达峰碳中和。

四是重振全球发展伙伴关系。发达国家要履行发展援助和气候融资承诺，发展中国家要深化南南合作。要充分调动社会各界力量，汇聚推动发展的强大合力。",23:03:58,2023-09-20,,
大商所、郑商所夜盘收盘 纯碱跌超4%,【大商所、郑商所夜盘收盘 纯碱跌超4%】财联社9月20日电，大商所、郑商所夜盘收盘，跌多涨少。纯碱跌超4%，苯乙烯跌超2%，PX跌超1%，豆二、豆油等小幅下跌；菜粕、豆一等小幅上涨。,23:00:54,2023-09-20,,
我国各学科最具影响力期刊论文数量首次升至世界第一,【我国各学科最具影响力期刊论文数量首次升至世界第一】财联社9月20日电，中国科学技术信息研究所9月20日发布的2023年中国科技论文统计结果显示，我国各学科最具影响力期刊论文数量首次升至世界第1位，高水平国际期刊论文数量及被引用次数均排在世界第一位。根据该分析报告，各学科影响因子最高的期刊可以被看作是世界各学科最具影响力期刊。统计结果显示，2022年，178个学科中高影响力期刊共有159种，2022年各学科最具影响力期刊上的论文总数为54002篇。中国在这些期刊上发表的论文数为16349篇，占世界总量的30.3%，首次超过美国，排在世界第一位。,22:56:12,2023-09-20,,
【电报解读】超过30个城市布局智算中心，这家公司产品已用于多个智算中心，并与华为在鲲鹏、昇腾、存储产品线上合作,超过30个城市布局智算中心，中国算力规模全球占比达33%，这家公司产品已用于多个智算中心，并与华为在鲲鹏、昇腾、存储产品线上合作，另一家欲打造长三角第一绿色数字经济算力中心。,22:54:56,2023-09-20,,
